latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.17709,22.642557,337.33,0.51,0.49,2021-02-26,1154,N,VIIRS,n,1,287.98,3.32,D,0
48.48436,22.695557,336.46,0.51,0.5,2021-02-26,1154,N,VIIRS,n,1,289.49,5.3,D,0
48.488945,22.694578,339.17,0.51,0.5,2021-02-26,1154,N,VIIRS,n,1,289.76,5.3,D,0
48.487579,22.695513,338.88,0.51,0.5,2021-02-26,1154,N,VIIRS,n,1,290.31,7.05,D,0
48.487164,22.68881,335.79,0.51,0.5,2021-02-26,1154,N,VIIRS,n,1,288.64,7.05,D,0
47.878754,33.405552,298.45,0.77,0.77,2021-02-26,2224,N,VIIRS,n,1,277.48,3.89,N,3
47.87849,33.405998,300.34,0.77,0.77,2021-02-26,2224,N,VIIRS,n,1,277.25,2.4,N,3
47.867702,35.155079,296.02,0.64,0.72,2021-02-26,2224,N,VIIRS,n,1,276.55,2.69,N,3
47.632679,34.320934,304.52,0.7,0.75,2021-02-26,2224,N,VIIRS,n,1,273.97,1.68,N,2
47.625641,34.320961,303.91,0.7,0.75,2021-02-26,2224,N,VIIRS,n,1,272.89,1.68,N,2
48.472248,34.964886,310.76,0.51,0.41,2021-02-27,0006,N,VIIRS,n,1,275.54,2.12,N,2
48.470825,34.971455,303.24,0.51,0.41,2021-02-27,0006,N,VIIRS,n,1,274.86,1.27,N,0
48.532429,34.646309,312.44,0.49,0.41,2021-02-27,0006,N,VIIRS,n,1,276.25,2.08,N,3
48.53075,34.616909,298.51,0.49,0.41,2021-02-27,0006,N,VIIRS,n,1,275.37,1.15,N,3
48.519421,34.632919,311.93,0.49,0.41,2021-02-27,0006,N,VIIRS,n,1,275.23,1.4,N,3
48.471237,34.630615,297.81,0.5,0.41,2021-02-27,0006,N,VIIRS,n,1,274.28,1.49,N,0
47.86935,35.159763,309.88,0.53,0.42,2021-02-27,0006,N,VIIRS,n,1,275.97,2.17,N,3
47.867149,35.1511,302.94,0.53,0.42,2021-02-27,0006,N,VIIRS,n,1,277.43,2.54,N,3
47.859722,35.147537,297.6,0.53,0.42,2021-02-27,0006,N,VIIRS,n,1,274.27,0.84,N,0
48.742989,30.16106,297.18,0.39,0.36,2021-02-27,0006,N,VIIRS,n,1,269.3,0.63,N,0
47.885551,33.445335,306.69,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,276.43,1.92,N,2
47.877666,33.408932,307.51,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,277.33,3.12,N,3
47.876434,33.414955,299.73,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,279.89,1.18,N,3
47.872932,33.413383,295.86,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,275,1.18,N,3
47.87434,33.387737,297.45,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,275.57,1.54,N,2
47.869606,33.392197,304.64,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,276.07,1.54,N,2
47.872349,33.412842,295.06,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,274.97,1.12,N,3
47.873669,33.387138,301.25,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,276.21,1.09,N,2
47.872463,33.393169,304.13,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,276.95,1.54,N,3
47.868961,33.391605,300.27,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,274.99,0.83,N,2
47.858318,33.406593,305.67,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,273.09,1.25,N,3
47.843212,33.386719,314.66,0.46,0.39,2021-02-27,0006,N,VIIRS,n,1,277.46,2.31,N,3
47.629681,34.327118,318.45,0.5,0.41,2021-02-27,0006,N,VIIRS,n,1,275.19,3.03,N,2
48.166569,30.619503,327.99,0.4,0.37,2021-02-27,0006,N,VIIRS,n,1,279.26,8.31,N,2
48.164192,30.612959,303.28,0.4,0.37,2021-02-27,0006,N,VIIRS,n,1,273.12,8.31,N,2
48.163277,30.618216,307.16,0.4,0.37,2021-02-27,0006,N,VIIRS,n,1,277.14,8.31,N,2
46.526566,29.979404,348.23,0.4,0.37,2021-02-27,0006,N,VIIRS,n,1,274.83,8.41,N,0
46.525726,29.97757,344.69,0.4,0.37,2021-02-27,0006,N,VIIRS,n,1,275.34,9.69,N,3
44.771896,33.860207,295.88,0.55,0.42,2021-02-27,0006,N,VIIRS,n,1,274.48,1.11,N,0
45.376701,34.958954,339.84,0.45,0.47,2021-02-27,0954,N,VIIRS,n,1,291.71,18.62,D,0
45.375381,34.953411,334.48,0.45,0.47,2021-02-27,0954,N,VIIRS,n,1,286.32,18.62,D,0
45.478725,29.304022,325.14,0.4,0.6,2021-02-27,0954,N,VIIRS,n,1,283.79,2.6,D,0
45.365982,28.924957,327.79,0.42,0.61,2021-02-27,0954,N,VIIRS,n,1,282.4,1.7,D,3
45.45792,29.101131,339.49,0.57,0.52,2021-02-27,1130,N,VIIRS,n,1,282.63,4.48,D,0
46.566631,32.642494,329.26,0.43,0.62,2021-02-27,1130,N,VIIRS,n,1,278.28,1.94,D,3
50.546181,26.259871,297.29,0.44,0.62,2021-02-28,0124,N,VIIRS,n,1,272.79,0.96,N,2
48.037327,23.536928,335.96,0.39,0.36,2021-02-28,1112,N,VIIRS,n,1,281.09,3.8,D,0
48.085239,23.524475,333.48,0.39,0.36,2021-02-28,1112,N,VIIRS,n,1,283.84,2.93,D,0
48.186996,23.523642,339.62,0.39,0.36,2021-02-28,1112,N,VIIRS,n,1,281.95,5.28,D,0
48.324814,23.059387,354.21,0.43,0.38,2021-03-01,1054,N,VIIRS,n,1,287.6,9.28,D,0
48.937988,38.448612,305.31,0.63,0.72,2021-03-02,0048,N,VIIRS,n,1,269.79,1.69,N,0
48.171478,37.702843,295.96,0.63,0.72,2021-03-02,0048,N,VIIRS,n,1,270.48,1.93,N,2
48.166817,37.70396,296.39,0.63,0.72,2021-03-02,0048,N,VIIRS,n,1,271.45,2.81,N,2
48.530979,34.645424,297.92,0.46,0.64,2021-03-02,0048,N,VIIRS,n,1,270.32,1.25,N,3
48.976421,24.710779,301.48,0.53,0.42,2021-03-02,0048,N,VIIRS,n,1,274.82,1.6,N,2
46.913349,36.553745,325.75,0.71,0.75,2021-03-02,0854,N,VIIRS,n,1,276.12,1.47,D,0
47.154964,37.568325,332.93,0.5,0.41,2021-03-02,1036,N,VIIRS,n,1,285.64,3.31,D,2
47.155296,37.534649,329.23,0.5,0.41,2021-03-02,1036,N,VIIRS,n,1,286.22,4.23,D,2
47.161774,37.560062,326.88,0.5,0.41,2021-03-02,1036,N,VIIRS,n,1,283.5,3.01,D,2
46.607159,32.669792,329.46,0.38,0.36,2021-03-02,1036,N,VIIRS,n,1,280.7,5.34,D,0
48.067837,38.353214,335.35,0.55,0.42,2021-03-02,1036,N,VIIRS,n,1,274.24,5.05,D,3
48.023579,37.386559,335.72,0.5,0.41,2021-03-02,1036,N,VIIRS,n,1,276.43,5.14,D,0
48.05658,23.439054,330.2,0.41,0.45,2021-03-02,1036,N,VIIRS,n,1,283.02,2.4,D,0
48.21394,23.444298,331.25,0.4,0.44,2021-03-02,1036,N,VIIRS,n,1,282.45,2.76,D,0
48.437637,22.874525,334.46,0.42,0.45,2021-03-02,1036,N,VIIRS,n,1,280.92,3.6,D,0
48.402721,22.572983,327.26,0.43,0.46,2021-03-02,1036,N,VIIRS,n,1,284.2,4.2,D,0
47.974537,23.913868,335.63,0.57,0.69,2021-03-02,1218,N,VIIRS,n,1,284.12,6.08,D,0
