latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.309826,23.429745,345.65,0.39,0.36,2021-01-01,1100,N,VIIRS,n,1,276.34,2.16,D,0
48.165718,37.702335,302.83,0.43,0.38,2021-01-01,2318,N,VIIRS,n,1,277.55,1.05,N,2
48.164997,37.708138,299.94,0.43,0.38,2021-01-01,2318,N,VIIRS,n,1,276.69,1.05,N,0
47.092819,37.590485,295.93,0.43,0.38,2021-01-01,2318,N,VIIRS,n,1,277.27,0.83,N,3
48.976273,24.713194,296.58,0.41,0.45,2021-01-02,0054,N,VIIRS,n,1,273.18,0.77,N,2
47.876873,33.413616,336.39,0.42,0.38,2021-01-02,1042,N,VIIRS,n,1,283.25,4.59,D,3
48.533375,34.64312,300.11,0.59,0.53,2021-01-02,2254,N,VIIRS,n,1,272.73,1.69,N,3
48.531982,34.645443,299.83,0.59,0.53,2021-01-02,2254,N,VIIRS,n,1,272.51,1.9,N,3
48.17458,37.695618,310.09,0.43,0.46,2021-01-02,2254,N,VIIRS,n,1,275.85,2.81,N,2
48.174095,37.701481,311.21,0.43,0.46,2021-01-02,2254,N,VIIRS,n,1,273.4,1.36,N,2
48.169872,37.700661,305.78,0.43,0.46,2021-01-02,2254,N,VIIRS,n,1,274.67,1.36,N,2
48.165169,37.7057,310.28,0.43,0.46,2021-01-02,2254,N,VIIRS,n,1,277.64,2.42,N,2
47.871578,33.446678,322.47,0.33,0.55,2021-01-02,2254,N,VIIRS,n,1,273.94,1.64,N,2
48.535343,34.646034,323.15,0.34,0.56,2021-01-03,0036,N,VIIRS,n,1,272.97,1.33,N,3
48.530579,34.642746,305.49,0.34,0.56,2021-01-03,0036,N,VIIRS,n,1,268.44,1.33,N,3
48.471951,34.627735,315.37,0.34,0.56,2021-01-03,0036,N,VIIRS,n,1,270.52,1.22,N,2
47.869656,33.450279,302.35,0.32,0.54,2021-01-03,0036,N,VIIRS,n,1,270.57,0.55,N,0
47.870953,33.449467,309.3,0.32,0.54,2021-01-03,0036,N,VIIRS,n,1,270.39,0.97,N,2
47.094952,37.60524,330.24,0.58,0.7,2021-01-04,2218,N,VIIRS,n,1,267.97,4.49,N,2
47.094952,37.597183,307.84,0.58,0.7,2021-01-04,2218,N,VIIRS,n,1,268.64,5.82,N,2
47.090538,37.60508,300.3,0.58,0.7,2021-01-04,2218,N,VIIRS,n,1,267.24,2.22,N,3
47.097332,37.603657,297.68,0.4,0.44,2021-01-05,0000,N,VIIRS,n,1,264.16,0.71,N,2
47.096165,37.608677,302.77,0.4,0.44,2021-01-05,0000,N,VIIRS,n,1,264.57,0.71,N,2
47.093422,37.601791,306.16,0.4,0.44,2021-01-05,0000,N,VIIRS,n,1,265.21,1.65,N,3
47.092251,37.606842,313.6,0.4,0.44,2021-01-05,0000,N,VIIRS,n,1,266.42,1.65,N,3
47.093018,37.606266,322.31,0.4,0.44,2021-01-05,0000,N,VIIRS,n,1,267.99,3.22,N,3
47.094166,37.601204,297.04,0.4,0.44,2021-01-05,0000,N,VIIRS,n,1,263.76,1.98,N,2
47.867687,35.163986,342.06,0.45,0.47,2021-01-05,0948,N,VIIRS,n,1,281.4,7.87,D,3
47.154644,37.530357,329.18,0.41,0.37,2021-01-05,2342,N,VIIRS,n,1,265.82,7.38,N,2
45.130638,34.482796,338.45,0.51,0.49,2021-01-06,1106,N,VIIRS,n,1,286.53,4.7,D,0
45.129925,34.48312,337.4,0.51,0.5,2021-01-06,1106,N,VIIRS,n,1,286.19,7.3,D,0
47.868183,33.39328,305.69,0.53,0.42,2021-01-06,2324,N,VIIRS,n,1,270.51,1.17,N,2
47.882694,33.444981,300.16,0.37,0.58,2021-01-08,0042,N,VIIRS,n,1,273.66,0.99,N,2
47.876106,33.407162,296.06,0.37,0.58,2021-01-08,0042,N,VIIRS,n,1,274.3,0.96,N,3
47.874714,33.411835,296.64,0.37,0.58,2021-01-08,0042,N,VIIRS,n,1,275.84,0.96,N,3
47.870342,33.386642,297.77,0.37,0.58,2021-01-08,0042,N,VIIRS,n,1,273.94,1.48,N,2
47.868946,33.391327,314.83,0.37,0.58,2021-01-08,0042,N,VIIRS,n,1,274.23,1.33,N,2
48.164921,30.618481,306.77,0.55,0.51,2021-01-08,0042,N,VIIRS,n,1,272.93,1.15,N,2
47.870998,33.389191,329.26,0.38,0.36,2021-01-08,1030,N,VIIRS,n,1,271.18,4.7,D,2
47.869476,33.391052,326.15,0.46,0.39,2021-01-09,1012,N,VIIRS,n,1,274.4,4.05,D,2
48.224205,38.242931,301.98,0.47,0.64,2021-01-09,2224,N,VIIRS,n,1,269.02,1.2,N,2
48.172123,37.699352,300.15,0.49,0.65,2021-01-09,2224,N,VIIRS,n,1,270.04,2.48,N,2
47.871468,33.373768,296.26,0.77,0.78,2021-01-09,2224,N,VIIRS,n,1,269.01,2.18,N,0
47.871769,33.384621,306.65,0.77,0.78,2021-01-09,2224,N,VIIRS,n,1,270.06,2.18,N,2
47.871841,33.38195,310.95,0.77,0.78,2021-01-09,2224,N,VIIRS,n,1,269.7,4.2,N,2
47.872097,33.392803,302.63,0.77,0.77,2021-01-09,2224,N,VIIRS,n,1,270.06,3.99,N,2
47.163017,37.556183,299.34,0.5,0.65,2021-01-09,2224,N,VIIRS,n,1,266.16,1.08,N,2
47.094955,37.59967,307.04,0.49,0.65,2021-01-09,2224,N,VIIRS,n,1,265.23,2.42,N,2
47.094872,37.606426,318.53,0.49,0.65,2021-01-09,2224,N,VIIRS,n,1,265.61,2.42,N,2
47.095867,37.602249,322.49,0.49,0.65,2021-01-09,2224,N,VIIRS,n,1,265.96,2.02,N,2
47.095985,37.595497,307.67,0.49,0.65,2021-01-09,2224,N,VIIRS,n,1,265.28,2.02,N,2
47.095745,37.609158,296.35,0.49,0.65,2021-01-09,2224,N,VIIRS,n,1,265.41,2.58,N,2
47.089748,37.601795,302.21,0.49,0.65,2021-01-09,2224,N,VIIRS,n,1,265.88,2.02,N,2
49.532482,37.068699,295.97,0.38,0.43,2021-01-10,0006,N,VIIRS,n,1,269.09,0.32,N,0
48.470345,34.966282,300.66,0.51,0.41,2021-01-10,0006,N,VIIRS,n,1,271.7,1.21,N,0
48.534756,34.642792,304.2,0.49,0.41,2021-01-10,0006,N,VIIRS,n,1,272.74,2.03,N,3
47.880085,35.190742,322.71,0.53,0.42,2021-01-10,0006,N,VIIRS,n,1,270.35,3.04,N,2
47.878895,35.189621,330.01,0.53,0.42,2021-01-10,0006,N,VIIRS,n,1,270.31,4.9,N,2
47.876678,35.180923,300.36,0.53,0.42,2021-01-10,0006,N,VIIRS,n,1,268.11,1.54,N,0
47.873734,35.156696,297.37,0.53,0.42,2021-01-10,0006,N,VIIRS,n,1,268.37,1.16,N,3
47.868538,35.161743,314.97,0.53,0.42,2021-01-10,0006,N,VIIRS,n,1,272.46,1.7,N,3
47.866325,35.153072,295.07,0.53,0.42,2021-01-10,0006,N,VIIRS,n,1,271.02,1.7,N,3
47.162952,37.560863,300.77,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,261.57,0.93,N,2
47.161541,37.566616,299.38,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,261.25,0.93,N,2
47.157391,37.564487,327,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,264.35,2.94,N,2
47.158802,37.558743,319.72,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,261.21,2.94,N,2
47.156185,37.53138,324.72,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,262.35,2.86,N,2
47.095928,37.604935,337.69,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,272.72,6.5,N,2
47.097374,37.599094,307.34,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,268.68,1.83,N,2
47.095413,37.604115,337.44,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,272.57,3.5,N,2
47.096836,37.598255,308.76,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,269.19,3.5,N,2
47.096935,37.578598,299.65,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,269.81,1.14,N,3
47.09267,37.596127,302.52,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,269.18,1.19,N,3
47.091248,37.602001,303.69,0.46,0.47,2021-01-10,0006,N,VIIRS,n,1,270.62,1.19,N,3
47.874367,33.424683,325.98,0.46,0.39,2021-01-10,0006,N,VIIRS,n,1,267.26,2.8,N,3
47.879227,33.400578,298.04,0.46,0.39,2021-01-10,0006,N,VIIRS,n,1,268.76,1.17,N,2
47.876797,33.412624,302,0.46,0.39,2021-01-10,0006,N,VIIRS,n,1,271.09,2.35,N,3
47.871937,33.436726,300.82,0.46,0.39,2021-01-10,0006,N,VIIRS,n,1,267.95,1.04,N,2
47.870861,33.423119,321.15,0.46,0.39,2021-01-10,0006,N,VIIRS,n,1,266.55,2.8,N,3
47.86721,33.441174,298.46,0.46,0.39,2021-01-10,0006,N,VIIRS,n,1,266.8,1.97,N,2
47.871006,33.403465,296.67,0.46,0.39,2021-01-10,0006,N,VIIRS,n,1,267.4,0.85,N,3
47.864281,33.361149,296.19,0.46,0.39,2021-01-10,0006,N,VIIRS,n,1,265.19,0.5,N,0
47.844185,33.384998,301.98,0.46,0.39,2021-01-10,0006,N,VIIRS,n,1,269.79,0.98,N,3
47.840679,33.383438,299.06,0.46,0.39,2021-01-10,0006,N,VIIRS,n,1,267.79,0.98,N,3
48.166821,30.61908,326.91,0.4,0.37,2021-01-10,0006,N,VIIRS,n,1,271.32,4.86,N,2
48.163536,30.617792,328.47,0.4,0.37,2021-01-10,0006,N,VIIRS,n,1,271.22,4.86,N,2
47.093197,37.604397,350.89,0.49,0.4,2021-01-10,0954,N,VIIRS,n,1,280.59,10.92,D,3
47.095505,37.596542,340.36,0.49,0.4,2021-01-10,0954,N,VIIRS,n,1,279.84,7.18,D,2
47.155495,37.563694,328.61,0.49,0.4,2021-01-10,0954,N,VIIRS,n,1,279.29,3.17,D,2
47.872532,33.392994,331.38,0.46,0.47,2021-01-10,0954,N,VIIRS,n,1,274.8,5.78,D,2
47.879051,35.190674,328.99,0.4,0.37,2021-01-10,2348,N,VIIRS,n,1,272.47,3.59,N,2
47.869499,35.16481,300.75,0.4,0.37,2021-01-10,2348,N,VIIRS,n,1,273,0.75,N,3
47.866211,35.163544,298.5,0.4,0.37,2021-01-10,2348,N,VIIRS,n,1,270.07,0.69,N,2
47.864727,35.151894,306.22,0.4,0.37,2021-01-10,2348,N,VIIRS,n,1,274.99,1.91,N,3
47.159863,37.557487,328.96,0.45,0.39,2021-01-10,2348,N,VIIRS,n,1,268.66,3.45,N,2
47.158703,37.563301,304.71,0.45,0.39,2021-01-10,2348,N,VIIRS,n,1,269.8,2.19,N,2
47.154053,37.567665,329.56,0.46,0.39,2021-01-10,2348,N,VIIRS,n,1,272.31,6.42,N,2
47.157532,37.531212,329.32,0.45,0.39,2021-01-10,2348,N,VIIRS,n,1,268.6,2.76,N,2
47.154057,37.529716,328.73,0.45,0.39,2021-01-10,2348,N,VIIRS,n,1,271.28,14.65,N,2
47.152878,37.535614,297.51,0.45,0.39,2021-01-10,2348,N,VIIRS,n,1,267.33,3.45,N,0
47.140079,37.580776,295.35,0.46,0.39,2021-01-10,2348,N,VIIRS,n,1,270.28,1.42,N,2
47.129467,37.633789,295.79,0.46,0.39,2021-01-10,2348,N,VIIRS,n,1,269.23,1.19,N,0
47.103931,37.590969,296.61,0.46,0.39,2021-01-10,2348,N,VIIRS,n,1,270.94,0.86,N,2
47.096901,37.607052,311.15,0.46,0.39,2021-01-10,2348,N,VIIRS,n,1,270.45,1.95,N,2
47.103146,37.590252,296.64,0.46,0.39,2021-01-10,2348,N,VIIRS,n,1,271.22,1.37,N,2
47.096172,37.606373,328.11,0.46,0.39,2021-01-10,2348,N,VIIRS,n,1,271.76,3.65,N,2
47.093838,37.599018,325.77,0.46,0.39,2021-01-10,2348,N,VIIRS,n,1,270.43,3.27,N,2
47.09267,37.604904,324.69,0.46,0.39,2021-01-10,2348,N,VIIRS,n,1,270.23,3.65,N,2
47.630642,34.32719,337.14,0.39,0.36,2021-01-10,2348,N,VIIRS,n,1,265.12,4.5,N,2
48.974522,24.709061,299.98,0.37,0.58,2021-01-11,2330,N,VIIRS,n,1,270.68,0.61,N,0
47.872967,33.436199,304.59,0.46,0.39,2021-01-11,2330,N,VIIRS,n,1,270.87,1.56,N,2
47.868645,33.441475,308.1,0.46,0.39,2021-01-11,2330,N,VIIRS,n,1,270.18,2.17,N,2
47.206978,37.55452,302.46,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,269.36,1.36,N,2
47.203709,37.553429,303.27,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,269.8,0.96,N,0
47.161362,37.560387,334.23,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,273.78,5.53,N,2
47.160583,37.565407,315.97,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,270.61,5.53,N,2
47.157314,37.564312,327.44,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,272.14,5.53,N,2
47.156536,37.569328,305.39,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,270.4,1.15,N,2
47.154045,37.563221,302.02,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,266.4,1.35,N,2
47.153267,37.568237,311.46,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,268.94,1.33,N,2
47.155434,37.532028,329.59,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,276.8,9.51,N,2
47.140347,37.585018,297.73,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,270.6,1.12,N,2
47.129284,37.634045,301.67,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,269.44,0.75,N,0
47.106236,37.587837,295.36,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,269.63,0.84,N,2
47.096584,37.605686,326.05,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,273.24,2.99,N,2
47.097363,37.600677,295.45,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,268.66,0.7,N,2
47.093315,37.604591,336.8,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,275.54,6.36,N,3
47.09721,37.579552,307.22,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,272.29,1.2,N,3
47.094872,37.594574,319.29,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,270.77,1.64,N,2
47.094093,37.599583,309.9,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,269.51,1.64,N,2
47.090046,37.603497,319.26,0.38,0.36,2021-01-11,2330,N,VIIRS,n,1,273.16,6.36,N,3
47.882553,33.447449,305.8,0.67,0.74,2021-01-12,0106,N,VIIRS,n,1,267.93,1.77,N,2
47.867458,33.44556,296.47,0.67,0.74,2021-01-12,0106,N,VIIRS,n,1,266.69,1.04,N,2
